--- Episode Start: 120 steps ---
Step 096 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 097 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 098 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 099 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 100 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 101 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 102 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 103 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 104 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 105 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 106 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 107 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 108 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 109 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 110 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 111 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 112 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 113 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 114 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 115 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 116 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 117 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 118 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 119 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
--- Episode End ---
